2015-11-01,73
2015-11-02,71
2015-11-03,46
2015-11-04,44
2015-11-05,64
2015-11-06,72
2015-11-07,68
2015-11-08,71
2015-11-09,98
2015-11-10,71
2015-11-11,96
2015-11-12,86
2015-11-13,93
2015-11-14,80
2015-11-15,96
2015-11-16,98
2015-11-17,95
2015-11-18,78
2015-11-19,67
2015-11-20,59
2015-11-21,94
2015-11-22,56
2015-11-23,83
2015-11-24,68
2015-11-25,83
2015-11-26,62
2015-11-27,67
2015-11-28,94
2015-11-29,70
2015-11-30,81
2015-12-01,79
2015-12-02,71
2015-12-03,96
2015-12-04,100
2015-12-05,58
2015-12-06,65
2015-12-07,78
2015-12-08,79
2015-12-09,73
2015-12-10,70
2015-12-11,80
2015-12-12,81
2015-12-13,76
2015-12-14,58
2015-12-15,71
2015-12-16,99
2015-12-17,65
2015-12-18,71
2015-12-19,61
2015-12-20,40
2015-12-21,47
2015-12-22,67
2015-12-23,75
2015-12-24,68
2015-12-25,74
2015-12-26,40
2015-12-27,45
2015-12-28,72
2015-12-29,45
2015-12-30,65
2015-12-31,63
