2015-11-01,80
2015-11-02,74
2015-11-03,53
2015-11-04,77
2015-11-05,67
2015-11-06,70
2015-11-07,42
2015-11-08,73
2015-11-09,99
2015-11-10,82
2015-11-11,69
2015-11-12,78
2015-11-13,70
2015-11-14,60
2015-11-15,85
2015-11-16,95
2015-11-17,100
2015-11-18,70
2015-11-19,79
2015-11-20,72
2015-11-21,75
2015-11-22,66
2015-11-23,66
2015-11-24,74
2015-11-25,70
2015-11-26,52
2015-11-27,70
2015-11-28,68
2015-11-29,70
2015-11-30,74
2015-12-01,82
2015-12-02,72
2015-12-03,74
2015-12-04,66
2015-12-05,86
2015-12-06,60
2015-12-07,44
2015-12-08,71
2015-12-09,80
2015-12-10,89
2015-12-11,72
2015-12-12,65
2015-12-13,50
2015-12-14,58
2015-12-15,51
2015-12-16,85
2015-12-17,61
2015-12-18,68
2015-12-19,67
2015-12-20,43
2015-12-21,53
2015-12-22,48
2015-12-23,60
2015-12-24,67
2015-12-25,62
2015-12-26,38
2015-12-27,56
2015-12-28,76
2015-12-29,44
2015-12-30,42
2015-12-31,51
